customerid,good_bad_flag
8a858f305c8dd672015c93b1db645db4,good
8a858f085a477386015a47fb049e49ca,bad
8a858e6f5cd5e874015cd6f5634c39ad,bad
8a858e9d5bfd7037015bfdab79f61305,bad
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858fde56eb02280156eb6dafc128ac,good
8a858e695775665c015779a1a5cc1192,good
8a858e695775665c015779a1a5cc1192,good
8a858e695775665c015779a1a5cc1192,good
8a858e695775665c015779a1a5cc1192,good
8a858e695775665c015779a1a5cc1192,good
8a858e695775665c015779a1a5cc1192,good
8a858e695775665c015779a1a5cc1192,good
8a858e225c404292015c4e2b42c67bbe,bad
8a858fcf5b39c3ba015b3d9f215c3922,good
8a858fcf5b39c3ba015b3d9f215c3922,good
8a858edd5c8348c4015c8452bc364cd7,bad
8a858ef25c8393f8015c86783932595b,bad
8a858edc5ceea2e6015ceea77c5c0300,good
8a858e5856b7840c0156bb256d6e0e6a,bad
8a858e8b5bc9e7e6015bcd7b7ee305b9,bad
8a858e585693982b015698da71ca5342,bad
8a858e785c8d9167015c90a6e2c45e08,bad
8a8588c2546bf759015471842d602473,good
8a8588c2546bf759015471842d602473,good
8a8588c2546bf759015471842d602473,good
8a858ee45b62dadc015b660294b5292e,bad
8a858ef358d4a48e0158d50224cb12c5,bad
8a858ef85a613c85015a684e546a4e82,good
8a858ef85a613c85015a684e546a4e82,good
8a858ff257048b50015709ffa148518e,bad
8a858e9b5bcf8546015bcff969fd0f8f,bad
8a85888c548fb3d501549593ea277c88,bad
8a858ec75c11a07a015c16a2289b4fa7,good
8a858ef7597cf4c501597e2416f907aa,bad
8a858ec95afc0922015aff7d927011fb,good
8a858ec95afc0922015aff7d927011fb,good
8a858ec95afc0922015aff7d927011fb,good
8a858ec95afc0922015aff7d927011fb,good
8a858ed75732b68101574d1614f23803,bad
8a858ede5ca210f0015ca340de706114,bad
8a858ec655f96b320156071dd95b4be0,bad
8a858fa25c120898015c132919e544fc,bad
8a858e135cb22031015cb58116983b37,bad
8a858e2d565657b101565ae54e5638c1,good
8a858e2d565657b101565ae54e5638c1,good
8a858e2d565657b101565ae54e5638c1,good
8a858e2d565657b101565ae54e5638c1,good
8a858e2d565657b101565ae54e5638c1,good
8a858e2d565657b101565ae54e5638c1,good
8a858e2d565657b101565ae54e5638c1,good
8a858e2d565657b101565ae54e5638c1,good
8a858e2d565657b101565ae54e5638c1,good
8a858e7c588604a4015895a4d8541dea,bad
8a858e395cb1d4d9015cbf8640086398,bad
8a858eb85cef9327015cf30509cf2230,bad
8a858887545183ca015458c977db7bd2,good
8a858887545183ca015458c977db7bd2,good
8a858f055b15b8d3015b168707084a4b,good
8a858f055b15b8d3015b168707084a4b,good
8a858f055b15b8d3015b168707084a4b,good
8a858f055b15b8d3015b168707084a4b,good
8a858ef25c8393f8015c873e2c443d27,good
8a858e9d5bfd7037015c0dc3a27c6d93,bad
8a858fa5552add5d01554ea9435f677d,bad
8a858f475c7ea023015c7f69842720ee,bad
8a858f9d5bd44001015bd4cd7c343311,bad
8a858fd3552c756201553571d2fe62e3,bad
8a858ffd5c8d343d015c8dbf49dc49d5,bad
8a858fab5cd5e1a7015cd9c3b9ae0f29,good
8a858ff9580b881201581e41fa95467b,good
8a858ff9580b881201581e41fa95467b,good
8a858ff9580b881201581e41fa95467b,good
8a858ff9580b881201581e41fa95467b,good
8a858ff9580b881201581e41fa95467b,good
8a858ff9580b881201581e41fa95467b,good
8a858ff9580b881201581e41fa95467b,good
8a858ed75732b68101574cf214582d48,bad
8a858f1e5cef1d91015cf37f17052b7b,bad
